亜急性感染症性精神病,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性感染症性精神病,アキュウセイカンセンショウセイセイシンビョウ,アキュウセイカンセンショウセイセイシンビョウ,0/19,*,あ[きユうせいかんせんしヨうせいせいしんびヨう
亜急性感染性心内膜炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性感染性心内膜炎,アキュウセイカンセンセイシンナイマクエン,アキュウセイカンセンセイシンナイマクエン,0/19,*,あ[きユうせいかんせんせいしんないまくえん
亜急性気管支炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性気管支炎,アキュウセイキカンシエン,アキュウセイキカンシエン,0/11,*,あ[きユうせいきかんしえん
亜急性器質精神症候群,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性器質精神症候群,アキュウセイキシツセイシンショウコウグン,アキュウセイキシツセイシンショウコウグン,16/18,*,あ[きユうせいきしつせいしんしヨうこう]ぐん
亜急性器質性反応,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性器質性反応,アキュウセイキシツセイハンノウ,アキュウセイキシツセイハンノウ,12/14,*,あ[きユうせいきしつせいはん]のう
亜急性虚血性大腸炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性虚血性大腸炎,アキュウセイキョケツセイダイチョウエン,アキュウセイキョケツセイダイチョウエン,14/16,*,あ[きユうせいきヨけつせいだいちヨう]えん
亜急性血性中耳炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性血性中耳炎,アキュウセイケッセイチュウジエン,アキュウセイケッセイチュウジエン,6/14,*,あ[きユうせいけ]っせいちユうじ]えん
亜急性結膜炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性結膜炎,アキュウセイケツマクエン,アキュウセイケツマクエン,9/11,*,あ[きユうせいけつまく]えん
亜急性硬化性全脳炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性硬化性全脳炎,アキュウセイコウカセイゼンノウエン,アキュウセイコウカセイゼンノウエン,14/16,*,あ[きユうせいこうかせいぜんのう]えん
亜急性虹彩炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性虹彩炎,アキュウセイコウサイエン,アキュウセイコウサイエン,9/11,*,あ[きユうせいこうさい]えん
亜急性虹彩毛様体炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性虹彩毛様体炎,アキュウセイコウサイモウヨウタイエン,アキュウセイコウサイモウヨウタイエン,15/17,*,あ[きユうせいこうさいもうようたい]えん
亜急性甲状腺炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性甲状腺炎,アキュウセイコウジョウセンエン,アキュウセイコウジョウセンエン,11/13,*,あ[きユうせいこうじヨうせん]えん
亜急性紅斑性狼瘡,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性紅斑性狼瘡,アキュウセイコウハンセイロウソウ,アキュウセイコウハンセイロウソウ,0/15,*,あ[きユうせいこうはんせいろうそう
亜急性骨髄炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性骨髄炎,アキュウセイコツズイエン,アキュウセイコツズイエン,9/11,*,あ[きユうせいこつずい]えん
